Season,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
2025-26,1641989,Elijah Harkless,1610612762,UTA,7,2,5,66.0,17,57,30,2.0,2.15,1.76,0.298,1,0,1,0.0,0.0,3.0
2025-26,1641801,Emanuel Miller,1610612741,CHI,5,0,5,33.0,15,44,31,1.1,1.45,0.84,0.341,1,0,3,2.0,0.0,1.333
2025-26,201569,Eric Gordon,1610612755,PHI,5,3,2,57.0,21,77,51,2.6,2.01,0.95,0.273,0,0,1,0.0,0.0,0.0
2025-26,1630679,Ethan Thompson,1610612754,IND,7,2,5,132.0,33,140,76,5.8,2.48,1.69,0.236,1,0,5,0.0,0.0,0.4
2025-26,1630596,Evan Mobley,1610612739,CLE,25,14,11,854.0,477,1763,940,71.1,2.42,1.53,0.271,93,36,187,0.484,0.306,0.872
2025-26,1630532,Franz Wagner,1610612753,ORL,24,14,10,801.0,545,1443,803,75.8,3.15,2.44,0.378,50,14,70,0.52,0.929,0.857
2025-26,1641713,GG Jackson,1610612763,MEM,8,4,4,54.0,20,95,56,3.5,2.23,1.43,0.211,1,0,6,0.0,0.0,0.333
2025-26,1629216,Gabe Vincent,1610612747,LAL,14,10,4,301.0,66,339,163,18.6,3.29,2.78,0.195,3,0,2,0.0,0.0,0.0
2025-26,202066,Garrett Temple,1610612761,TOR,5,3,2,19.0,4,38,15,2.1,3.28,2.76,0.105,0,0,0,0.0,0.0,0.0
2025-26,1629726,Garrison Mathews,1610612754,IND,12,4,8,173.0,63,226,139,5.0,1.32,0.42,0.279,3,0,1,1.333,0.0,0.0
2025-26,203914,Gary Harris,1610612749,MIL,18,6,12,254.0,43,255,165,8.0,1.89,1.14,0.169,3,0,9,0.0,0.0,0.667
