Season,CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS
2025-26,1642348,Justin Edwards,1610612755,PHI,F,22.0,22,21,0.349,1.0,2.32,0.431,0.357,0.075
2025-26,1629234,Drew Eubanks,1610612758,SAC,F-C,28.0,25,21,0.296,0.68,2.32,0.293,0.359,-0.066
2025-26,1630534,Ochai Agbaji,1610612761,TOR,G,25.0,21,17,0.375,0.52,2.29,0.229,0.351,-0.121
2025-26,1629057,Robert Williams III,1610612757,POR,C-F,28.0,18,16,0.287,0.61,2.28,0.268,0.335,-0.066
2025-26,1630188,Jalen Smith,1610612741,CHI,F-C,25.0,22,19,0.296,0.77,2.27,0.34,0.342,-0.002
2025-26,202691,Klay Thompson,1610612742,DAL,G,35.0,27,25,0.353,0.7,2.26,0.311,0.347,-0.035
2025-26,1630182,Josh Green,1610612766,CHA,G,25.0,4,4,0.391,0.0,2.25,0.0,0.328,-0.328
2025-26,1642450,Daniss Jenkins,1610612765,DET,G,24.0,21,20,0.367,0.81,2.24,0.362,0.356,0.006
2025-26,1631200,Kris Murray,1610612757,POR,F,25.0,26,24,0.307,0.69,2.23,0.31,0.346,-0.036
2025-26,1630551,Justin Champagnie,1610612764,WAS,G-F,24.0,22,20,0.336,0.95,2.23,0.429,0.365,0.064
2025-26,1642278,Tyler Kolek,1610612752,NYK,G,24.0,20,18,0.436,0.8,2.2,0.364,0.356,0.008
2025-26,1630549,Day'Ron Sharpe,1610612751,BKN,C,24.0,25,20,0.342,0.92,2.2,0.418,0.361,0.058
2025-26,1642275,Tidjane Salaün,1610612766,CHA,F,20.0,15,13,0.359,1.07,2.2,0.485,0.374,0.111
2025-26,201567,Kevin Love,1610612762,UTA,F-C,37.0,16,15,0.267,0.88,2.19,0.4,0.355,0.045
2025-26,1631172,Ousmane Dieng,1610612760,OKC,F,22.0,17,15,0.352,0.71,2.18,0.324,0.347,-0.023
2025-26,1631104,Blake Wesley,1610612757,POR,G,22.0,6,5,0.481,0.5,2.17,0.231,0.363,-0.132
2025-26,1627780,Gary Payton II,1610612744,GSW,G,33.0,25,18,0.38,0.8,2.16,0.37,0.366,0.004
2025-26,1642962,Drake Powell,1610612751,BKN,G-F,20.0,18,15,0.376,0.67,2.11,0.316,0.372,-0.056
2025-26,1629618,Jalen Pickett,1610612743,DEN,G,26.0,9,7,0.463,0.78,2.11,0.368,0.343,0.025
2025-26,1630592,Jalen Wilson,1610612751,BKN,F,25.0,18,17,0.38,0.89,2.11,0.421,0.342,0.079
2025-26,1629048,Goga Bitadze,1610612753,ORL,C-F,26.0,27,22,0.258,0.7,2.11,0.333,0.348,-0.014
