NBA_ID,Season,Player,Free Throw Rating
1891,2015-16,Jason Terry,82.66555642049659
1891,2016-17,Jason Terry,83.4769382031026
1891,2017-18,Jason Terry,84.88541462505894
1897,2013-14,Metta World Peace,73.43309745215312
1897,2015-16,Metta World Peace,72.2215982617752
1897,2016-17,Metta World Peace,49.79542968916772
1905,2013-14,Andrei Kirilenko,70.0325575629097
1905,2014-15,Andrei Kirilenko,75.64784113954782
1938,2013-14,Manu Ginobili,81.99731011415493
1938,2014-15,Manu Ginobili,77.53681894244359
1938,2015-16,Manu Ginobili,83.70537258103572
1938,2016-17,Manu Ginobili,82.99921797935052
1938,2017-18,Manu Ginobili,85.95569089412407
2030,2013-14,Kenyon Martin,71.89101861463534
2030,2014-15,Kenyon Martin,76.51362285401645
2034,2013-14,Mike Miller,79.917623467136
2034,2014-15,Mike Miller,77.48051762877168
2034,2015-16,Mike Miller,40.724205621188915
2034,2016-17,Mike Miller,77.21714195874287
2037,2013-14,Jamal Crawford,83.2728670519928
2037,2014-15,Jamal Crawford,83.89326426888557
2037,2015-16,Jamal Crawford,92.69511914878036
2037,2016-17,Jamal Crawford,87.40020448581762
2037,2017-18,Jamal Crawford,89.29895194511434
2037,2018-19,Jamal Crawford,86.18297884920995
2037,2019-20,Jamal Crawford,49.39529842614719
2045,2013-14,Hedo Turkoglu,68.67678217743477
2045,2014-15,Hedo Turkoglu,70.54782160222504
2199,2013-14,Tyson Chandler,74.44261122841864
2199,2014-15,Tyson Chandler,77.69671238661877
2199,2015-16,Tyson Chandler,59.53938941796223
2199,2016-17,Tyson Chandler,75.64234364840237
2199,2017-18,Tyson Chandler,61.50515238881549
2199,2018-19,Tyson Chandler,56.27882319224602
2199,2019-20,Tyson Chandler,36.60738987381323
2200,2013-14,Pau Gasol,78.47844436021778
2200,2014-15,Pau Gasol,81.03893758806248
2200,2015-16,Pau Gasol,82.91322986179898
2200,2016-17,Pau Gasol,72.36810320324983
2200,2017-18,Pau Gasol,78.04207893632379
2200,2018-19,Pau Gasol,72.72419173355917
2202,2014-15,Jason Richardson,78.57443567045952
2203,2013-14,Shane Battier,74.28657404251415
2207,2013-14,Joe Johnson,80.46826447979154
2207,2014-15,Joe Johnson,79.87089461539205
2207,2015-16,Joe Johnson,85.18326841163783
2207,2016-17,Joe Johnson,83.760625929677
2207,2017-18,Joe Johnson,87.52532603033517
2207,2021-22,Joe Johnson,49.3924661135548
2210,2013-14,Richard Jefferson,77.86983582965055
2210,2014-15,Richard Jefferson,75.82423430138202
2210,2015-16,Richard Jefferson,66.99786669702638
2210,2016-17,Richard Jefferson,76.00093250729115
2210,2017-18,Richard Jefferson,48.910344768586505
2215,2013-14,Jason Collins,75.67809082265228
2216,2013-14,Zach Randolph,78.71195050959595
2216,2014-15,Zach Randolph,79.42415117066645
2216,2015-16,Zach Randolph,82.9502279360124
2216,2016-17,Zach Randolph,75.08379093852732
2216,2017-18,Zach Randolph,80.88510815738387
2217,2014-15,Brendan Haywood,60.387982897589595
2222,2013-14,Gerald Wallace,67.56797491168624
2222,2014-15,Gerald Wallace,54.38034334881503
2223,2013-14,Samuel Dalembert,77.65054549996222
2223,2014-15,Samuel Dalembert,75.9990130667228
2224,2013-14,Jamaal Tinsley,49.39104995725861
2225,2013-14,Tony Parker,80.82613014020707
2225,2014-15,Tony Parker,79.36123485756623
2225,2015-16,Tony Parker,78.26452920505508
2225,2016-17,Tony Parker,74.51276804554489
2225,2017-18,Tony Parker,72.3920175020569
2225,2018-19,Tony Parker,75.4873737273346
2229,2013-14,Mike James,49.39104995725861
2248,2013-14,Earl Watson,77.05781796850415
2365,2013-14,Chris Andersen,77.0053425446664
2365,2014-15,Chris Andersen,75.3576488812721
2365,2015-16,Chris Andersen,71.99964261458607
2365,2016-17,Chris Andersen,67.26704063322845
2399,2013-14,Mike Dunleavy,81.71494076126064
2399,2014-15,Mike Dunleavy,79.66075289188586
2399,2015-16,Mike Dunleavy,79.804196233132
2399,2016-17,Mike Dunleavy,81.76589226094391
2400,2013-14,Drew Gooden,82.64891753917776
2400,2014-15,Drew Gooden,78.47900632530519
2400,2015-16,Drew Gooden,69.24593371793111
